,AYB,Discretise,Frequency
2007,1948.0,Old,2382
2008,1926.0,Old,2382
2009,1978.0,New,433
2010,1951.0,New,433
2011,1948.0,Old,2382
2012,1984.0,New,433
2013,1927.0,Old,2382
2014,2017.0,Very New,175
2015,1952.0,New,433
2016,1952.0,New,433
2017,1952.0,New,433
2018,1961.0,New,433
2019,1956.0,New,433
2020,1951.0,New,433
2021,1951.0,New,433
2022,1951.0,New,433
2023,1925.0,Old,2382
2024,1942.0,Old,2382
2025,1949.0,Old,2382
2026,1948.0,Old,2382
2027,1927.0,Old,2382
2028,1928.0,Old,2382
2029,1950.0,Old,2382
2030,1900.0,Old,2382
2031,1939.0,Old,2382
2032,1913.0,Old,2382
2033,1925.0,Old,2382
2034,1905.0,Old,2382
2035,1925.0,Old,2382
2036,1916.0,Old,2382
2037,1936.0,Old,2382
2038,1929.0,Old,2382
2039,1935.0,Old,2382
2040,1940.0,Old,2382
2041,1939.0,Old,2382
2042,1927.0,Old,2382
2043,1947.0,Old,2382
2044,1926.0,Old,2382
2045,1936.0,Old,2382
2046,1942.0,Old,2382
2047,1907.0,Old,2382
2048,1917.0,Old,2382
2049,2008.0,Very New,175
2050,1926.0,Old,2382
2051,1918.0,Old,2382
2052,1924.0,Old,2382
