,AYB,Discretise,Frequency
1229,1937.0,Old,2382
1230,1911.0,Old,2382
1231,1928.0,Old,2382
1232,1892.0,Old,2382
1233,1941.0,Old,2382
1234,1924.0,Old,2382
1235,1922.0,Old,2382
1236,1953.0,New,433
1237,1927.0,Old,2382
1238,1942.0,Old,2382
1239,1920.0,Old,2382
1240,1950.0,Old,2382
1241,1941.0,Old,2382
1242,1941.0,Old,2382
1243,1934.0,Old,2382
1244,1934.0,Old,2382
1245,1920.0,Old,2382
1246,1908.0,Old,2382
1247,1928.0,Old,2382
1248,1940.0,Old,2382
1249,1940.0,Old,2382
1250,2011.0,Very New,175
1251,1937.0,Old,2382
1252,1999.0,New,433
1253,1951.0,New,433
1254,1923.0,Old,2382
1255,1920.0,Old,2382
1256,1921.0,Old,2382
1257,1940.0,Old,2382
1258,1949.0,Old,2382
1259,1920.0,Old,2382
1260,1924.0,Old,2382
1261,1940.0,Old,2382
1262,1932.0,Old,2382
1263,1911.0,Old,2382
1264,1910.0,Old,2382
1265,1909.0,Old,2382
1266,1908.0,Old,2382
1267,1955.0,New,433
1268,1958.0,New,433
1269,1927.0,Old,2382
1270,1928.0,Old,2382
1271,1908.0,Old,2382
1272,1908.0,Old,2382
1273,1918.0,Old,2382
1274,1918.0,Old,2382
1275,1923.0,Old,2382
1276,1922.0,Old,2382
1277,1907.0,Old,2382
1278,1905.0,Old,2382
1279,1921.0,Old,2382
1280,1920.0,Old,2382
1281,1920.0,Old,2382
1282,1910.0,Old,2382
1283,1907.0,Old,2382
1284,1948.0,Old,2382
1285,1927.0,Old,2382
1286,1948.0,Old,2382
1287,1911.0,Old,2382
1288,1954.0,New,433
1289,1964.0,New,433
1290,1911.0,Old,2382
1291,1931.0,Old,2382
1292,1930.0,Old,2382
1293,1910.0,Old,2382
1294,1926.0,Old,2382
1295,1935.0,Old,2382
1296,1927.0,Old,2382
1297,1932.0,Old,2382
1298,1931.0,Old,2382
1299,1933.0,Old,2382
1300,1913.0,Old,2382
1301,1940.0,Old,2382
1302,1922.0,Old,2382
1303,1950.0,Old,2382
1304,1960.0,New,433
1305,1919.0,Old,2382
1306,1919.0,Old,2382
1307,1933.0,Old,2382
1308,1925.0,Old,2382
1309,1922.0,Old,2382
1310,1933.0,Old,2382
1311,1934.0,Old,2382
1312,1926.0,Old,2382
1313,1926.0,Old,2382
1314,1935.0,Old,2382
1315,1931.0,Old,2382
1316,1909.0,Old,2382
1317,1921.0,Old,2382
1318,1915.0,Old,2382
1319,1931.0,Old,2382
1320,1909.0,Old,2382
1321,1916.0,Old,2382
1322,1932.0,Old,2382
1323,1924.0,Old,2382
1324,1921.0,Old,2382
1325,1924.0,Old,2382
1326,1910.0,Old,2382
1327,2015.0,Very New,175
1328,1934.0,Old,2382
1329,1935.0,Old,2382
1330,1906.0,Old,2382
1331,1910.0,Old,2382
1332,1927.0,Old,2382
1333,1913.0,Old,2382
1334,1920.0,Old,2382
1335,1920.0,Old,2382
1336,1909.0,Old,2382
1337,1911.0,Old,2382
1338,1913.0,Old,2382
1339,1913.0,Old,2382
1340,1928.0,Old,2382
1341,1908.0,Old,2382
1342,1911.0,Old,2382
1343,1923.0,Old,2382
1344,2010.0,Very New,175
1345,1910.0,Old,2382
1346,1906.0,Old,2382
1347,1913.0,Old,2382
1348,1912.0,Old,2382
1349,1912.0,Old,2382
1350,1912.0,Old,2382
1351,1910.0,Old,2382
1352,1913.0,Old,2382
1353,1915.0,Old,2382
1354,1912.0,Old,2382
1355,1913.0,Old,2382
1356,1913.0,Old,2382
1357,1910.0,Old,2382
1358,1921.0,Old,2382
1359,1916.0,Old,2382
1360,1916.0,Old,2382
1361,1923.0,Old,2382
1362,1925.0,Old,2382
1363,1910.0,Old,2382
1364,1909.0,Old,2382
1365,1907.0,Old,2382
1366,1923.0,Old,2382
1367,1904.0,Old,2382
1368,1935.0,Old,2382
1369,1910.0,Old,2382
1370,1912.0,Old,2382
1371,1906.0,Old,2382
1372,1917.0,Old,2382
1373,1924.0,Old,2382
1374,1912.0,Old,2382
1375,1912.0,Old,2382
1376,1977.0,New,433
1377,1922.0,Old,2382
1378,1921.0,Old,2382
1379,1926.0,Old,2382
1380,1909.0,Old,2382
1381,1900.0,Old,2382
1382,1924.0,Old,2382
1383,1909.0,Old,2382
1384,1921.0,Old,2382
1385,1920.0,Old,2382
1386,1919.0,Old,2382
1387,1911.0,Old,2382
1388,1894.0,Old,2382
1389,1902.0,Old,2382
1390,1910.0,Old,2382
1391,1931.0,Old,2382
1392,1914.0,Old,2382
1393,1924.0,Old,2382
1394,1908.0,Old,2382
1395,1908.0,Old,2382
1396,1909.0,Old,2382
1397,1911.0,Old,2382
1398,1912.0,Old,2382
1399,1927.0,Old,2382
1400,1919.0,Old,2382
1401,1919.0,Old,2382
1402,1923.0,Old,2382
1403,1922.0,Old,2382
1404,1912.0,Old,2382
1405,1912.0,Old,2382
1406,1934.0,Old,2382
1407,1930.0,Old,2382
1408,1979.0,New,433
1409,1920.0,Old,2382
1410,1920.0,Old,2382
1411,1925.0,Old,2382
1412,1993.0,New,433
1413,1926.0,Old,2382
1414,1918.0,Old,2382
1415,1975.0,New,433
1416,1975.0,New,433
1417,1920.0,Old,2382
1418,1911.0,Old,2382
1419,1900.0,Old,2382
1420,1910.0,Old,2382
1421,1957.0,New,433
1422,1925.0,Old,2382
1423,1928.0,Old,2382
1424,1926.0,Old,2382
1425,1900.0,Old,2382
1426,1922.0,Old,2382
1427,2019.0,Very New,175
1428,1960.0,New,433
1429,1924.0,Old,2382
1430,2015.0,Very New,175
1431,1910.0,Old,2382
1432,1924.0,Old,2382
1433,1923.0,Old,2382
1434,1930.0,Old,2382
1435,1922.0,Old,2382
1436,1923.0,Old,2382
1437,1912.0,Old,2382
1438,1920.0,Old,2382
1439,1929.0,Old,2382
1440,1929.0,Old,2382
1441,1927.0,Old,2382
1442,1923.0,Old,2382
1443,1906.0,Old,2382
1444,1912.0,Old,2382
1445,1923.0,Old,2382
1446,1935.0,Old,2382
1447,1910.0,Old,2382
1448,1927.0,Old,2382
1449,1922.0,Old,2382
1450,1926.0,Old,2382
1451,1915.0,Old,2382
1452,1923.0,Old,2382
1453,1923.0,Old,2382
1454,1923.0,Old,2382
1455,1927.0,Old,2382
1456,1933.0,Old,2382
1457,1913.0,Old,2382
1458,2012.0,Very New,175
1459,1908.0,Old,2382
1460,1908.0,Old,2382
1461,1910.0,Old,2382
1462,1915.0,Old,2382
1463,1914.0,Old,2382
1464,1890.0,Old,2382
1465,1915.0,Old,2382
1466,1914.0,Old,2382
1467,1911.0,Old,2382
1468,1915.0,Old,2382
1469,1937.0,Old,2382
1470,1907.0,Old,2382
1471,1930.0,Old,2382
1472,1906.0,Old,2382
1473,1906.0,Old,2382
1474,1907.0,Old,2382
1475,1923.0,Old,2382
1476,1907.0,Old,2382
1477,1910.0,Old,2382
1478,1923.0,Old,2382
1479,1923.0,Old,2382
1480,1923.0,Old,2382
1481,1910.0,Old,2382
1482,1923.0,Old,2382
1483,1905.0,Old,2382
1484,1922.0,Old,2382
1485,1923.0,Old,2382
1486,1911.0,Old,2382
1487,1908.0,Old,2382
1488,1920.0,Old,2382
1489,1948.0,Old,2382
1490,1948.0,Old,2382
1491,1948.0,Old,2382
1492,1948.0,Old,2382
1493,1895.0,Old,2382
1494,1912.0,Old,2382
1495,1912.0,Old,2382
1496,1929.0,Old,2382
1497,1929.0,Old,2382
1498,1908.0,Old,2382
1499,1925.0,Old,2382
1500,1905.0,Old,2382
1501,2001.0,Very New,175
1502,1906.0,Old,2382
1503,1907.0,Old,2382
1504,1923.0,Old,2382
1505,1917.0,Old,2382
1506,1908.0,Old,2382
1507,1910.0,Old,2382
1508,1910.0,Old,2382
1509,1911.0,Old,2382
1510,1907.0,Old,2382
1511,1909.0,Old,2382
1512,1895.0,Old,2382
1513,1910.0,Old,2382
1514,1905.0,Old,2382
1515,1914.0,Old,2382
1516,2001.0,Very New,175
1517,1900.0,Old,2382
1518,1907.0,Old,2382
1519,1912.0,Old,2382
1520,1908.0,Old,2382
1521,1908.0,Old,2382
1522,1916.0,Old,2382
1523,1907.0,Old,2382
1524,1907.0,Old,2382
1525,1907.0,Old,2382
1526,1907.0,Old,2382
1527,1908.0,Old,2382
1528,1913.0,Old,2382
1529,1920.0,Old,2382
1530,1914.0,Old,2382
1531,1911.0,Old,2382
1532,1900.0,Old,2382
1533,1925.0,Old,2382
1534,1916.0,Old,2382
1535,1912.0,Old,2382
1536,1910.0,Old,2382
1537,1911.0,Old,2382
1538,1895.0,Old,2382
1539,1895.0,Old,2382
1540,1895.0,Old,2382
1541,1907.0,Old,2382
1542,1908.0,Old,2382
1543,1912.0,Old,2382
1544,1923.0,Old,2382
1545,1923.0,Old,2382
1546,1895.0,Old,2382
1547,1925.0,Old,2382
1548,1925.0,Old,2382
1549,1925.0,Old,2382
1550,1925.0,Old,2382
1551,1912.0,Old,2382
1552,1929.0,Old,2382
1553,1911.0,Old,2382
1554,1929.0,Old,2382
1555,1906.0,Old,2382
1556,1934.0,Old,2382
1557,1923.0,Old,2382
1558,1960.0,New,433
1559,1932.0,Old,2382
1560,1927.0,Old,2382
1561,1928.0,Old,2382
1562,1931.0,Old,2382
1563,1923.0,Old,2382
1564,1915.0,Old,2382
1565,1900.0,Old,2382
1566,1928.0,Old,2382
1567,1928.0,Old,2382
1568,1923.0,Old,2382
1569,1929.0,Old,2382
1570,1929.0,Old,2382
1571,1936.0,Old,2382
1572,1926.0,Old,2382
1573,1961.0,New,433
