"BATHRM","HEAT_D","AC","NUM_UNITS","ROOMS","BEDRM","AYB","YR_RMDL","SALEDATE","PRICE","QUALIFIED","STYLE","STRUCT","GRADE_D","CNDTN_D","EXTWALL_D","ROOF","INTWALL_D","KITCHENS","FIREPLACES","LANDAREA","GIS_LAST_MOD_DTTM"
3,"Warm Cool","Y",1,7,5,1927,1999,"2002-04-15T00:00:00.000Z",915000,"Q",4,1,"Superior","Average","Stucco Block",10,"Hardwood",1,1,6250,"2018-07-22T18:01:43.000Z"
3,"Warm Cool","Y",1,7,3,1940,,"2014-04-22T00:00:00.000Z",925000,"U",4,1,"Very Good","Good","Common Brick",11,"Hardwood",1,1,6399,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,7,3,1937,1994,"1900-01-01T00:00:00.000Z",,"U",4,1,"Good Quality","Good","Common Brick",11,"Hardwood",1,1,2080,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","Y",1,10,3,1938,,"2016-09-13T00:00:00.000Z",900000,"Q",4,1,"Good Quality","Good","Common Brick",11,"Hardwood",2,1,3406,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,7,3,1937,1987,"2009-12-10T00:00:00.000Z",870000,"Q",4,1,"Very Good","Good","Common Brick",11,"Hardwood",1,2,3850,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,7,3,1938,2001,"2014-11-12T00:00:00.000Z",930000,"Q",4,1,"Very Good","Good","Common Brick",11,"Hardwood",1,1,3850,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,10,5,1939,,"2004-10-04T00:00:00.000Z",0,"U",7,1,"Good Quality","Good","Common Brick",11,"Hardwood",1,1,4135,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,8,3,1940,,"2017-11-20T00:00:00.000Z",850000,"Q",4,1,"Good Quality","Good","Common Brick",11,"Hardwood",1,1,4000,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,8,4,1937,,"2005-09-21T00:00:00.000Z",0,"U",4,1,"Very Good","Good","Common Brick",11,"Hardwood",1,1,3850,"2018-07-22T18:01:43.000Z"
3,"Hot Water Rad","Y",1,7,4,1929,,"2017-07-10T00:00:00.000Z",1244500,"Q",6,1,"Good Quality","Good","Common Brick",1,"Hardwood",2,1,6000,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,7,4,1928,1988,"1900-01-01T00:00:00.000Z",,"U",4,1,"Excellent","Good","Stucco",1,"Hardwood",1,1,7500,"2018-07-22T18:01:43.000Z"
1,"Warm Cool","Y",1,7,3,1939,2011,"2011-06-30T00:00:00.000Z",840000,"Q",4,1,"Good Quality","Good","Common Brick",11,"Hardwood",1,1,3646,"2018-07-22T18:01:43.000Z"
3,"Forced Air","Y",1,8,5,1932,2005,"2004-06-22T00:00:00.000Z",713600,"U",4,1,"Very Good","Good","Brick/Stucco",1,"Hardwood",1,2,6248,"2018-07-22T18:01:43.000Z"
1,"Hot Water Rad","N",1,6,3,1939,,"2010-07-13T00:00:00.000Z",0,"U",4,1,"Good Quality","Good","Common Brick",11,"Hardwood",1,2,2739,"2018-07-22T18:01:43.000Z"
3,"Warm Cool","Y",1,9,4,1955,2011,"1900-01-01T00:00:00.000Z",,"U",1,1,"Good Quality","Average","Common Brick",1,"Hardwood",1,1,7936,"2018-07-22T18:01:43.000Z"
1,"Warm Cool","Y",1,7,4,1940,,"2008-07-07T00:00:00.000Z",769000,"Q",4,1,"Good Quality","Very Good","Common Brick",11,"Hardwood",1,1,3375,"2018-07-22T18:01:43.000Z"
1,"Hot Water Rad","N",1,6,3,1940,,"2009-06-29T00:00:00.000Z",0,"U",4,1,"Good Quality","Average","Common Brick",11,"Hardwood",1,1,2928,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,7,3,1979,,"2017-02-07T00:00:00.000Z",0,"U",7,7,"Superior","Average","Common Brick",4,"Hardwood",1,1,996,"2018-07-22T18:01:43.000Z"
1,"Hot Water Rad","N",1,7,3,1925,,"2015-03-10T00:00:00.000Z",0,"U",4,1,"Above Average","Average","Wood Siding",1,"Hardwood",1,1,3220,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","N",1,7,3,1936,1970,"2011-03-29T00:00:00.000Z",0,"U",4,1,"Good Quality","Good","Common Brick",11,"Hardwood",1,1,5469,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,12,3,1939,,"1995-04-11T00:00:00.000Z",360000,"Q",4,1,"Good Quality","Good","Common Brick",11,"Hardwood",1,1,5469,"2018-07-22T18:01:43.000Z"
4,"Warm Cool","Y",1,10,6,1928,2004,"1998-10-16T00:00:00.000Z",0,"U",6,1,"Superior","Good","Stucco",11,"Hardwood",1,3,16575,"2018-07-22T18:01:43.000Z"
3,"Warm Cool","Y",1,9,4,1927,,"1997-11-17T00:00:00.000Z",580000,"Q",6,1,"Superior","Average","Common Brick",11,"Hardwood",1,3,7500,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","Y",1,8,4,1926,2008,"1900-01-01T00:00:00.000Z",,"U",4,1,"Superior","Average","Stone/Stucco",11,"Hardwood",1,1,9000,"2018-07-22T18:01:43.000Z"
2,"Forced Air","Y",1,7,4,1938,,"2015-02-23T00:00:00.000Z",830000,"Q",4,1,"Good Quality","Good","Common Brick",11,"Hardwood",1,1,3646,"2018-07-22T18:01:43.000Z"
3,"Forced Air","Y",1,7,4,1940,2003,"2017-12-11T00:00:00.000Z",1395000,"Q",6,1,"Very Good","Good","Common Brick",11,"Wood Floor",1,2,5000,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,6,3,1940,,"2010-08-04T00:00:00.000Z",860000,"Q",4,1,"Good Quality","Good","Common Brick",11,"Hardwood",1,1,3627,"2018-07-22T18:01:43.000Z"
3,"Warm Cool","Y",1,9,4,1938,,"2012-05-29T00:00:00.000Z",1150000,"Q",4,1,"Very Good","Good","Common Brick",11,"Hardwood",1,2,6000,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","Y",1,9,3,1936,2013,"1900-01-01T00:00:00.000Z",0,"U",4,1,"Good Quality","Good","Common Brick",11,"Hardwood",1,1,5469,"2018-07-22T18:01:43.000Z"
1,"Hot Water Rad","N",1,5,2,1937,,"1900-01-01T00:00:00.000Z",,"U",3,1,"Good Quality","Good","Common Brick",1,"Hardwood",1,1,6680,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,7,3,1933,,"2008-04-09T00:00:00.000Z",0,"U",4,1,"Very Good","Average","Common Brick",11,"Hardwood",1,1,10560,"2018-07-22T18:01:43.000Z"
1,"Hot Water Rad","N",1,7,2,1925,2011,"1900-01-01T00:00:00.000Z",,"U",3,1,"Good Quality","Good","Wood Siding",1,"Hardwood",1,1,3200,"2018-07-22T18:01:43.000Z"
4,"Warm Cool","Y",1,8,3,1932,,"2015-04-07T00:00:00.000Z",1050000,"Q",4,1,"Very Good","Good","Common Brick",1,"Hardwood",1,1,7348,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,8,4,1932,,"1900-01-01T00:00:00.000Z",,"U",4,1,"Very Good","Very Good","Common Brick",1,"Hardwood",1,2,5170,"2018-07-22T18:01:43.000Z"
4,"Forced Air","Y",1,11,6,1937,2008,"2017-07-21T00:00:00.000Z",2295000,"Q",4,1,"Excellent","Very Good","Brick/Siding",11,"Hardwood",1,2,7500,"2018-07-22T18:01:43.000Z"
5,"Warm Cool","Y",1,11,6,1985,2011,"2011-07-12T00:00:00.000Z",1850000,"Q",4,1,"Excellent","Average","Common Brick",3,"Hardwood",2,2,7500,"2018-07-22T18:01:43.000Z"
3,"Warm Cool","Y",1,7,3,1984,,"2007-03-21T00:00:00.000Z",830000,"Q",7,7,"Superior","Average","Common Brick",1,"Hardwood",1,1,898,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,6,3,1935,1979,"2008-01-08T00:00:00.000Z",825000,"Q",4,1,"Very Good","Good","Common Brick",1,"Hardwood",1,1,4000,"2018-07-22T18:01:43.000Z"
3,"Warm Cool","Y",1,5,3,1979,,"2011-08-03T00:00:00.000Z",685000,"Q",4,7,"Very Good","Good","Common Brick",1,"Hardwood",1,1,960,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,5,2,1979,2011,"2000-08-11T00:00:00.000Z",389000,"Q",4,7,"Very Good","Average","Common Brick",1,"Wood Floor",1,1,914,"2018-07-22T18:01:43.000Z"
3,"Hot Water Rad","N",1,9,5,1917,1932,"2017-06-27T00:00:00.000Z",1000000,"Q",6,8,"Very Good","Average","Common Brick",2,"Hardwood",1,1,4200,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","Y",1,8,3,1925,1989,"1998-07-06T00:00:00.000Z",350000,"Q",4,1,"Good Quality","Average","Wood Siding",11,"Hardwood",1,1,4575,"2018-07-22T18:01:43.000Z"
1,"Warm Cool","Y",1,8,4,1939,1975,"1996-02-01T00:00:00.000Z",354000,"Q",5,1,"Good Quality","Average","Common Brick",11,"Hardwood",1,1,5888,"2018-07-22T18:01:43.000Z"
1,"Hot Water Rad","Y",1,6,3,1925,2016,"2005-12-22T00:00:00.000Z",629900,"Q",4,1,"Good Quality","Average","Wood Siding",1,"Hardwood",1,1,3470,"2018-07-22T18:01:43.000Z"
1,"Warm Cool","Y",1,6,3,1923,,"2007-10-19T00:00:00.000Z",0,"U",4,1,"Good Quality","Average","Stucco",1,"Hardwood",1,1,2415,"2018-07-22T18:01:43.000Z"
3,"Hot Water Rad","Y",1,8,3,1924,2016,"2010-02-02T00:00:00.000Z",0,"U",4,1,"Good Quality","Good","Wood Siding",11,"Hardwood",1,1,2285,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,9,3,1925,1987,"2001-11-06T00:00:00.000Z",410000,"Q",6,8,"Good Quality","Good","Common Brick",1,"Hardwood",1,2,2500,"2018-07-22T18:01:43.000Z"
5,"Warm Cool","Y",1,15,6,1928,2006,"2006-05-18T00:00:00.000Z",0,"U",6,1,"Superior","Good","Stone/Siding",11,"Hardwood",1,1,17645,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","N",1,9,4,1920,,"1999-03-16T00:00:00.000Z",369000,"U",4,1,"Good Quality","Good","Wood Siding",1,"Hardwood",1,1,4878,"2018-07-22T18:01:43.000Z"
3,"Hot Water Rad","N",1,10,5,1920,2013,"2017-08-10T00:00:00.000Z",1099000,"Q",4,8,"Very Good","Good","Wood Siding",6,"Hardwood",1,1,3900,"2018-07-22T18:01:43.000Z"
3,"Hot Water Rad","Y",1,8,4,1917,1985,"1900-01-01T00:00:00.000Z",,"U",4,8,"Good Quality","Good","Common Brick",2,"Hardwood",1,1,3900,"2018-07-22T18:01:43.000Z"
1,"Hot Water Rad","N",1,6,3,1925,2008,"1900-01-01T00:00:00.000Z",,"U",6,1,"Above Average","Average","Wood Siding",1,"Hardwood",1,1,4482,"2018-07-22T18:01:43.000Z"
5,"Warm Cool","Y",1,13,7,1936,1995,"2016-09-23T00:00:00.000Z",2520000,"Q",6,1,"Excellent","Very Good","Common Brick",11,"Hardwood",1,3,12706,"2018-07-22T18:01:43.000Z"
3,"Warm Cool","Y",1,8,4,1994,,"1900-01-01T00:00:00.000Z",,"U",4,1,"Very Good","Good","Common Brick",2,"Hardwood",1,1,7650,"2018-07-22T18:01:43.000Z"
1,"Warm Cool","Y",1,6,3,1923,,"1997-07-30T00:00:00.000Z",0,"U",4,1,"Good Quality","Average","Vinyl Siding",6,"Hardwood",1,1,4950,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","Y",1,8,4,1933,,"2010-03-02T00:00:00.000Z",978000,"Q",6,1,"Good Quality","Average","Common Brick",11,"Hardwood",1,1,4400,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,7,4,1927,,"2000-08-28T00:00:00.000Z",410000,"Q",4,1,"Good Quality","Average","Common Brick",11,"Hardwood",1,1,4719,"2018-07-22T18:01:43.000Z"
1,"Hot Water Rad","N",1,6,3,1910,,"1900-01-01T00:00:00.000Z",,"U",4,1,"Good Quality","Average","Stucco",1,"Hardwood",1,0,8242,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,6,3,1999,,"1998-09-29T00:00:00.000Z",385850,"Q",9,6,"Excellent","Very Good","Common Brick",1,"Carpet",1,0,1072,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","Y",1,7,3,1921,,"2009-08-05T00:00:00.000Z",808000,"Q",4,1,"Above Average","Average","Wood Siding",1,"Hardwood",1,1,5125,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,6,2,1923,2013,"1996-07-09T00:00:00.000Z",218000,"Q",3,1,"Good Quality","Good","Wood Siding",1,"Hardwood",1,1,6625,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,5,3,1929,,"2011-12-30T00:00:00.000Z",0,"U",4,8,"Good Quality","Good","Common Brick",11,"Hardwood",1,1,3630,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","N",1,8,3,1929,,"1900-01-01T00:00:00.000Z",,"U",4,8,"Good Quality","Average","Common Brick",6,"Hardwood",1,1,6122,"2018-07-22T18:01:43.000Z"
1,"Warm Cool","Y",1,6,4,1926,,"2018-03-23T00:00:00.000Z",0,"U",4,8,"Good Quality","Average","Stucco",6,"Hardwood",1,1,3614,"2018-07-22T18:01:43.000Z"
1,"Hot Water Rad","Y",1,7,3,1926,,"2017-06-05T00:00:00.000Z",963000,"Q",4,1,"Very Good","Very Good","Vinyl Siding",1,"Hardwood",1,1,3152,"2018-07-22T18:01:43.000Z"
3,"Forced Air","N",1,10,3,1926,1984,"1900-01-01T00:00:00.000Z",,"U",4,8,"Very Good","Average","Common Brick",1,"Hardwood",1,1,3885,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","Y",1,7,4,1922,2004,"2017-01-10T00:00:00.000Z",981000,"Q",6,8,"Very Good","Average","Wood Siding",1,"Hardwood/Carp",1,0,4500,"2018-07-22T18:01:43.000Z"
3,"Warm Cool","Y",1,8,3,1923,2009,"1998-03-24T00:00:00.000Z",470000,"U",4,1,"Very Good","Good","Wood Siding",1,"Hardwood",1,1,5127,"2018-07-22T18:01:43.000Z"
3,"Forced Air","Y",1,8,3,1937,2014,"2000-11-15T00:00:00.000Z",491000,"Q",6,8,"Very Good","Good","Common Brick",11,"Hardwood",1,1,3885,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","N",1,8,3,1925,2007,"1900-01-01T00:00:00.000Z",,"U",6,1,"Good Quality","Average","Wood Siding",1,"Hardwood",1,0,2669,"2018-07-22T18:01:43.000Z"
1,"Warm Cool","Y",1,7,4,1911,,"2002-02-20T00:00:00.000Z",0,"U",7,1,"Very Good","Average","Vinyl Siding",4,"Hardwood",1,1,4063,"2018-07-22T18:01:43.000Z"
4,"Warm Cool","Y",1,8,4,1969,2010,"2016-07-25T00:00:00.000Z",1100000,"Q",4,6,"Excellent","Good","Common Brick",6,"Hardwood",1,3,1854,"2018-07-22T18:01:43.000Z"
1,"Hot Water Rad","N",1,7,3,1926,2003,"2002-05-21T00:00:00.000Z",465000,"Q",4,8,"Good Quality","Average","Common Brick",6,"Hardwood",1,1,3614,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,7,2,1950,1961,"1900-01-01T00:00:00.000Z",,"U",3,1,"Very Good","Excellent","Common Brick",4,"Hardwood",1,1,10278,"2018-07-22T18:01:43.000Z"
4,"Hot Water Rad","Y",1,13,6,1926,2016,"2014-07-22T00:00:00.000Z",1725000,"Q",6,1,"Very Good","Good","Brick/Siding",11,"Hardwood",1,1,8190,"2018-07-22T18:01:43.000Z"
1,"Warm Cool","Y",1,5,2,1914,,"1995-08-29T00:00:00.000Z",189000,"Q",4,6,"Very Good","Very Good","Common Brick",6,"Hardwood",1,0,913,"2018-07-22T18:01:43.000Z"
1,"Forced Air","Y",1,4,2,1928,2010,"2016-09-07T00:00:00.000Z",545000,"Q",4,8,"Good Quality","Good","Common Brick",6,"Hardwood",1,0,989,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,9,4,1926,2006,"2004-06-10T00:00:00.000Z",850000,"Q",4,1,"Good Quality","Good","Common Brick",11,"Hardwood",1,1,4505,"2018-07-22T18:01:43.000Z"
5,"Warm Cool","Y",1,12,6,2014,,"2015-09-03T00:00:00.000Z",0,"U",6,1,"Excellent","Very Good","Stucco",1,"Hardwood",1,2,4108,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,8,4,1925,2011,"1900-01-01T00:00:00.000Z",,"U",4,1,"Very Good","Average","Stucco",1,"Hardwood",1,1,4800,"2018-07-22T18:01:43.000Z"
1,"Hot Water Rad","N",1,0,3,1939,,"2009-08-14T00:00:00.000Z",700000,"Q",4,1,"Good Quality","Good","Common Brick",11,"Hardwood",1,1,3600,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,7,2,1941,,"2017-05-23T00:00:00.000Z",863500,"Q",4,1,"Good Quality","Good","Common Brick",11,"Hardwood",1,1,2516,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,7,3,1980,,"2017-08-03T00:00:00.000Z",1065000,"U",4,8,"Good Quality","Average","Common Brick",1,"Hardwood",1,1,4661,"2018-07-22T18:01:43.000Z"
2,"Forced Air","Y",1,7,3,1969,,"2016-10-11T00:00:00.000Z",0,"U",4,8,"Very Good","Average","Common Brick",6,"Hardwood",1,1,4500,"2018-07-22T18:01:43.000Z"
3,"Forced Air","Y",1,6,3,1918,2013,"2015-03-04T00:00:00.000Z",937500,"Q",4,7,"Good Quality","Good","Brick/Siding",1,"Hardwood",1,1,1758,"2018-07-22T18:01:43.000Z"
1,"Hot Water Rad","N",1,8,4,1923,,"2017-07-31T00:00:00.000Z",0,"U",4,1,"Good Quality","Good","Wood Siding",1,"Hardwood",1,1,4725,"2018-07-22T18:01:43.000Z"
4,"Warm Cool","Y",1,8,4,1923,1999,"2006-05-19T00:00:00.000Z",979000,"Q",4,1,"Above Average","Good","Stucco",1,"Hardwood",2,2,4650,"2018-07-22T18:01:43.000Z"
3,"Hot Water Rad","Y",1,10,5,1953,2017,"2011-06-29T00:00:00.000Z",1195000,"Q",6,1,"Very Good","Good","Common Brick",1,"Hardwood",1,2,4787,"2018-07-22T18:01:43.000Z"
3,"Warm Cool","Y",1,12,4,1925,,"2015-11-19T00:00:00.000Z",1545000,"Q",6,1,"Very Good","Good","Brick/Stucco",1,"Hardwood",1,1,5554,"2018-07-22T18:01:43.000Z"
3,"Warm Cool","Y",1,9,5,1925,1975,"1992-06-02T00:00:00.000Z",430000,"Q",6,1,"Good Quality","Good","Stucco",11,"Hardwood",1,1,6466,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,6,3,1894,1980,"1900-01-01T00:00:00.000Z",,"U",4,1,"Above Average","Average","Wood Siding",1,"Hardwood",1,1,5869,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,6,3,1954,1999,"1900-01-01T00:00:00.000Z",,"U",1,1,"Above Average","Average","Brick/Siding",1,"Hardwood",1,1,5143,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,7,3,1922,2014,"2012-04-26T00:00:00.000Z",0,"U",4,1,"Good Quality","Good","Wood Siding",1,"Hardwood",1,1,6625,"2018-07-22T18:01:43.000Z"
2,"Forced Air","Y",1,6,4,1925,,"1999-06-18T00:00:00.000Z",0,"Q",6,8,"Good Quality","Good","Common Brick",1,"Hardwood",1,1,5300,"2018-07-22T18:01:43.000Z"
4,"Warm Cool","Y",1,11,5,1990,,"2016-07-05T00:00:00.000Z",1525000,"Q",6,1,"Very Good","Good","Stucco",1,"Hardwood",2,4,6750,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","N",1,8,3,1936,,"2003-07-15T00:00:00.000Z",0,"U",4,7,"Good Quality","Average","Common Brick",6,"Hardwood",1,0,1512,"2018-07-22T18:01:43.000Z"
1,"Hot Water Rad","Y",1,6,3,1925,1988,"2003-11-07T00:00:00.000Z",0,"U",4,1,"Good Quality","Average","Wood Siding",11,"Hardwood",1,1,4575,"2018-07-22T18:01:43.000Z"
1,"Hot Water Rad","N",1,6,4,1924,1999,"2003-05-29T00:00:00.000Z",550000,"Q",6,8,"Average","Good","Stucco",1,"Hardwood",1,1,4237,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","N",1,8,3,1927,,"1998-04-08T00:00:00.000Z",0,"U",4,8,"Very Good","Good","Common Brick",11,"Hardwood",1,1,4546,"2018-07-22T18:01:43.000Z"
3,"Ht Pump","Y",1,8,3,1941,2005,"2011-08-29T00:00:00.000Z",1003000,"Q",4,1,"Good Quality","Good","Brick/Siding",1,"Hardwood",1,1,4810,"2018-07-22T18:01:43.000Z"
4,"Forced Air","Y",1,9,5,1952,2006,"2006-11-21T00:00:00.000Z",0,"U",4,1,"Very Good","Good","Common Brick",11,"Hardwood",1,2,12750,"2018-07-22T18:01:43.000Z"
3,"Forced Air","Y",1,14,5,1920,1996,"2011-11-09T00:00:00.000Z",0,"U",6,1,"Superior","Average","Stone",10,"Hardwood",1,2,41400,"2018-07-22T18:01:43.000Z"
4,"Warm Cool","Y",1,9,5,1916,2004,"2005-03-04T00:00:00.000Z",1699000,"Q",4,1,"Very Good","Very Good","Stucco",11,"Hardwood",1,2,6894,"2018-07-22T18:01:43.000Z"
5,"Hot Water Rad","Y",1,6,3,1929,1983,"2017-07-27T00:00:00.000Z",1350000,"Q",4,1,"Good Quality","Good","Common Brick",6,"Hardwood",1,1,5901,"2018-07-22T18:01:43.000Z"
3,"Forced Air","Y",1,8,4,2002,,"2007-11-05T00:00:00.000Z",0,"U",7,1,"Exceptional-A","Very Good","Common Brick",9,"Hardwood/Carp",1,1,0,"2018-07-22T18:01:43.000Z"
3,"Warm Cool","Y",1,7,4,1959,,"2011-08-01T00:00:00.000Z",750000,"Q",14,1,"Above Average","Average","Brick/Siding",1,"Hardwood",1,0,5377,"2018-07-22T18:01:43.000Z"
2,"Forced Air","Y",1,8,4,1924,,"1998-09-08T00:00:00.000Z",359000,"U",4,6,"Very Good","Very Good","Common Brick",6,"Hardwood",1,1,1840,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","N",1,8,4,1930,1971,"2012-07-27T00:00:00.000Z",0,"U",6,1,"Very Good","Average","Common Brick",11,"Hardwood",1,1,5545,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,8,3,1946,,"1900-01-01T00:00:00.000Z",,"U",4,1,"Good Quality","Average","Common Brick",11,"Hardwood",1,2,5520,"2018-07-22T18:01:43.000Z"
3,"Hot Water Rad","Y",1,11,5,1929,2005,"1900-01-01T00:00:00.000Z",,"U",4,1,"Good Quality","Very Good","Common Brick",1,"Hardwood",1,1,4500,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,6,2,1938,,"1993-06-30T00:00:00.000Z",270000,"U",4,1,"Good Quality","Average","Common Brick",11,"Hardwood",1,2,3750,"2018-07-22T18:01:43.000Z"
3,"Warm Cool","Y",1,9,4,1952,1987,"1900-01-01T00:00:00.000Z",,"U",1,1,"Good Quality","Good","Brick/Siding",1,"Hardwood",1,0,6197,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","N",1,7,5,1916,1997,"2007-07-31T00:00:00.000Z",1390000,"Q",6,1,"Very Good","Very Good","Brick/Stucco",11,"Hardwood",1,1,7650,"2018-07-22T18:01:43.000Z"
1,"Hot Water Rad","N",1,9,3,1913,,"1900-01-01T00:00:00.000Z",,"U",4,1,"Good Quality","Average","Common Brick",2,"Hardwood",1,1,6376,"2018-07-22T18:01:43.000Z"
3,"Warm Cool","Y",1,10,4,1919,2005,"1993-11-19T00:00:00.000Z",350000,"Q",4,1,"Good Quality","Good","Stucco",1,"Hardwood",1,1,5834,"2018-07-22T18:01:43.000Z"
4,"Warm Cool","Y",1,8,5,1931,1978,"2017-01-03T00:00:00.000Z",1200000,"Q",7,1,"Good Quality","Good","Common Brick",11,"Hardwood",2,1,6027,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","N",1,8,4,1933,,"1992-12-18T00:00:00.000Z",412000,"Q",5,1,"Very Good","Average","Common Brick",1,"Hardwood",1,2,6875,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","N",1,7,3,1913,1978,"1998-09-30T00:00:00.000Z",313000,"Q",6,8,"Good Quality","Good","Common Brick",1,"Hardwood",1,0,2000,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","Y",1,8,4,1928,,"2018-05-11T00:00:00.000Z",1205230,"Q",4,8,"Good Quality","Good","Common Brick",6,"Hardwood",2,1,3614,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","Y",1,7,2,1921,1984,"2004-11-16T00:00:00.000Z",0,"U",4,1,"Above Average","Average","Wood Siding",1,"Hardwood",1,1,7626,"2018-07-22T18:01:43.000Z"
3,"Hot Water Rad","Y",1,8,5,1925,2004,"2014-05-21T00:00:00.000Z",1395000,"Q",6,1,"Excellent","Very Good","Brick/Stucco",11,"Hardwood",1,1,5040,"2018-07-22T18:01:43.000Z"
3,"Warm Cool","Y",1,9,4,1941,2007,"1900-01-01T00:00:00.000Z",,"U",4,1,"Excellent","Average","Brick/Siding",11,"Hardwood",1,1,3960,"2018-07-22T18:01:43.000Z"
3,"Warm Cool","Y",1,9,4,1915,1992,"2012-12-26T00:00:00.000Z",0,"U",6,1,"Excellent","Good","Stucco",1,"Hardwood",1,1,8690,"2018-07-22T18:01:43.000Z"
1,"Hot Water Rad","N",2,8,3,1927,,"1994-03-28T00:00:00.000Z",250000,"Q",4,8,"Good Quality","Average","Stucco",11,"Hardwood",2,1,3601,"2018-07-22T18:01:43.000Z"
4,"Forced Air","Y",1,5,6,1922,2016,"2011-01-10T00:00:00.000Z",1745000,"Q",6,1,"Excellent","Good","Common Brick",11,"Hardwood",1,3,6450,"2018-07-22T18:01:43.000Z"
1,"Warm Cool","Y",1,6,3,1948,,"2004-06-01T00:00:00.000Z",0,"U",4,1,"Above Average","Average","Common Brick",1,"Hardwood",1,1,4300,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,9,4,1939,2013,"2014-01-16T00:00:00.000Z",1255000,"Q",6,1,"Good Quality","Good","Common Brick",1,"Hardwood",1,1,7118,"2018-07-22T18:01:43.000Z"
5,"Warm Cool","Y",1,12,5,1925,2008,"2014-12-05T00:00:00.000Z",1950000,"Q",6,1,"Superior","Good","Stone",11,"Hardwood",1,2,12069,"2018-07-22T18:01:43.000Z"
3,"Warm Cool","Y",1,10,5,1922,2015,"2001-07-18T00:00:00.000Z",750000,"Q",6,1,"Good Quality","Average","Common Brick",1,"Hardwood",1,1,5625,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,7,2,1923,,"1995-03-21T00:00:00.000Z",307000,"Q",4,1,"Good Quality","Good","Common Brick",11,"Hardwood",1,1,6500,"2018-07-22T18:01:43.000Z"
1,"Hot Water Rad","N",1,7,3,1926,,"2010-12-13T00:00:00.000Z",700000,"Q",7,1,"Good Quality","Good","Stucco",1,"Hardwood",1,1,5541,"2018-07-22T18:01:43.000Z"
3,"Hot Water Rad","Y",1,10,5,1926,2017,"2011-07-01T00:00:00.000Z",1211000,"Q",4,1,"Very Good","Average","Wood Siding",1,"Hardwood",1,1,5764,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,7,3,1928,2016,"2018-05-03T00:00:00.000Z",0,"U",4,1,"Good Quality","Average","Common Brick",11,"Hardwood",1,1,4312,"2018-07-22T18:01:43.000Z"
