"BATHRM","HEAT_D","AC","NUM_UNITS","ROOMS","BEDRM","AYB","YR_RMDL","SALEDATE","PRICE","QUALIFIED","STYLE","STRUCT","GRADE_D","CNDTN_D","EXTWALL_D","ROOF","INTWALL_D","KITCHENS","FIREPLACES","LANDAREA","GIS_LAST_MOD_DTTM"
2,"Forced Air","Y",1,8,4,1900,2011,"2015-10-29T00:00:00.000Z",0,"U",4,7,"Above Average","Good","Common Brick",2,"Hardwood",1,1,1900,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,8,2,2001,,"2001-07-26T00:00:00.000Z",325149,"Q",4,7,"Good Quality","Good","Common Brick",1,"Hardwood/Carp",1,1,656,"2018-07-22T18:01:43.000Z"
1,"Hot Water Rad","N",1,9,3,1900,,"2017-07-28T00:00:00.000Z",0,"U",7,6,"Good Quality","Fair","Common Brick",2,"Hardwood",1,0,1316,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","N",2,6,3,1909,,"2012-02-06T00:00:00.000Z",203000,"Q",4,2,"Average","Average","Common Brick",6,"Hardwood",2,0,1302,"2018-07-22T18:01:43.000Z"
,,,,,,2019,,"1900-01-01T00:00:00.000Z",0,"U",,,,,,,,,,4959,"2018-07-22T18:01:43.000Z"
3,"Forced Air","Y",2,9,4,1979,2015,"2014-12-24T00:00:00.000Z",1025000,"Q",4,2,"Average","Good","Common Brick",2,"Hardwood",2,1,3372,"2018-07-22T18:01:43.000Z"
4,"Hot Water Rad","N",2,8,4,1885,2005,"2008-03-06T00:00:00.000Z",1000000,"Q",7,7,"Good Quality","Good","Common Brick",2,"Hardwood",2,0,1827,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","N",1,12,6,1945,,"2010-01-21T00:00:00.000Z",0,"U",7,7,"Good Quality","Average","Common Brick",2,"Hardwood",1,0,1734,"2018-07-22T18:01:43.000Z"
4,"Warm Cool","Y",1,8,4,1895,1992,"1900-01-01T00:00:00.000Z",0,"U",7,7,"Good Quality","Good","Common Brick",2,"Hardwood",1,0,1734,"2018-07-22T18:01:43.000Z"
1,"Hot Water Rad","N",1,7,3,1914,,"2016-09-07T00:00:00.000Z",525000,"U",4,7,"Average","Average","Common Brick",2,"Hardwood",1,1,1887,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",2,6,3,1912,2004,"2013-01-22T00:00:00.000Z",470000,"U",4,2,"Average","Average","Common Brick",2,"Hardwood",2,0,1267,"2018-07-22T18:01:43.000Z"
1,"Warm Cool","N",1,7,4,1927,1986,"2012-08-20T00:00:00.000Z",0,"U",4,7,"Good Quality","Average","Common Brick",2,"Hardwood",1,0,1893,"2018-07-22T18:01:43.000Z"
3,"Forced Air","Y",2,7,3,1895,2016,"2017-07-25T00:00:00.000Z",0,"U",7,7,"Good Quality","Very Good","Common Brick",2,"Hardwood/Carp",2,1,1530,"2018-07-22T18:01:43.000Z"
1,"Hot Water Rad","N",2,12,7,1885,,"1900-01-01T00:00:00.000Z",0,"U",7,7,"Good Quality","Good","Common Brick",2,"Wood Floor",2,0,1305,"2018-07-22T18:01:43.000Z"
1,"Hot Water Rad","N",1,8,4,1885,,"2018-01-02T00:00:00.000Z",0,"U",7,7,"Good Quality","Average","Common Brick",2,"Wood Floor",1,0,1642,"2018-07-22T18:01:43.000Z"
1,"Forced Air","Y",1,5,2,1911,1977,"2017-10-30T00:00:00.000Z",440000,"U",4,7,"Above Average","Average","Common Brick",2,"Hardwood/Carp",1,1,560,"2018-07-22T18:01:43.000Z"
1,"Forced Air","Y",1,5,2,1911,,"2004-05-04T00:00:00.000Z",310000,"Q",4,6,"Above Average","Average","Common Brick",2,"Hardwood/Carp",1,1,572,"2018-07-22T18:01:43.000Z"
4,"Hot Water Rad","N",4,16,6,1900,,"2008-02-26T00:00:00.000Z",630130,"U",4,2,"Average","Average","Common Brick",2,"Wood Floor",4,0,2042,"2018-07-22T18:01:43.000Z"
1,"Warm Cool","Y",1,5,2,1910,1984,"1900-01-01T00:00:00.000Z",,"U",4,6,"Average","Average","Common Brick",6,"Wood Floor",1,0,1330,"2018-07-22T18:01:43.000Z"
2,"Forced Air","Y",2,8,3,1870,2011,"2001-05-03T00:00:00.000Z",130000,"U",4,7,"Good Quality","Good","Common Brick",2,"Hardwood",2,0,1616,"2018-07-22T18:01:43.000Z"
1,"Forced Air","Y",1,6,3,1870,2008,"2011-08-31T00:00:00.000Z",800000,"Q",4,7,"Above Average","Good","Common Brick",2,"Hardwood",1,1,1616,"2018-07-22T18:01:43.000Z"
1,"Hot Water Rad","N",1,6,3,1890,,"2003-04-11T00:00:00.000Z",330000,"Q",4,7,"Average","Average","Common Brick",2,"Hardwood",1,0,1099,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","Y",1,6,4,1928,2000,"2016-07-22T00:00:00.000Z",0,"U",4,6,"Above Average","Good","Common Brick",2,"Hardwood",1,0,1000,"2018-07-22T18:01:43.000Z"
2,"Forced Air","Y",1,5,3,1880,2007,"2008-01-17T00:00:00.000Z",540000,"Q",4,7,"Average","Good","Stucco",2,"Wood Floor",1,0,1880,"2018-07-22T18:01:43.000Z"
3,"Forced Air","Y",1,8,4,1915,1985,"2003-09-04T00:00:00.000Z",289900,"Q",4,7,"Above Average","Average","Common Brick",2,"Carpet",1,0,657,"2018-07-22T18:01:43.000Z"
1,"Hot Water Rad","N",1,6,3,1890,,"1999-08-20T00:00:00.000Z",272000,"U",4,7,"Average","Average","Stucco",2,"Hardwood",1,0,1517,"2018-07-22T18:01:43.000Z"
2,"Hot Water Rad","Y",1,9,5,1890,2009,"2014-04-14T00:00:00.000Z",0,"U",7,7,"Very Good","Good","Common Brick",6,"Hardwood",1,3,1200,"2018-07-22T18:01:43.000Z"
1,"Hot Water Rad","N",1,12,8,1905,,"1900-01-01T00:00:00.000Z",,"U",7,7,"Good Quality","Average","Common Brick",2,"Hardwood",1,0,1894,"2018-07-22T18:01:43.000Z"
3,"Warm Cool","Y",3,11,4,1905,2000,"2010-03-16T00:00:00.000Z",1245000,"Q",7,7,"Excellent","Good","Brick/Stone",2,"Hardwood",3,2,1350,"2018-07-22T18:01:43.000Z"
4,"Hot Water Rad","Y",2,11,5,1915,2015,"2015-06-08T00:00:00.000Z",1749500,"Q",7,2,"Very Good","Very Good","Common Brick",6,"Hardwood",2,0,1242,"2018-07-22T18:01:43.000Z"
3,"Warm Cool","Y",2,7,3,1885,,"2000-08-10T00:00:00.000Z",410000,"Q",4,7,"Good Quality","Average","Common Brick",2,"Hardwood",2,1,1853,"2018-07-22T18:01:43.000Z"
3,"Forced Air","Y",1,8,3,2001,,"2015-09-28T00:00:00.000Z",0,"U",4,7,"Good Quality","Good","Common Brick",1,"Hardwood/Carp",1,1,656,"2018-07-22T18:01:43.000Z"
2,"Forced Air","Y",1,6,3,1880,2011,"2013-12-23T00:00:00.000Z",1125000,"Q",4,6,"Above Average","Good","Common Brick",2,"Hardwood",1,2,1800,"2018-07-22T18:01:43.000Z"
3,"Hot Water Rad","Y",1,9,6,1909,,"2015-05-12T00:00:00.000Z",0,"U",7,6,"Very Good","Good","Common Brick",2,"Hardwood",1,0,3080,"2018-07-22T18:01:43.000Z"
3,"Forced Air","Y",2,8,4,1900,2000,"2010-12-23T00:00:00.000Z",1150000,"Q",4,7,"Good Quality","Good","Common Brick",6,"Hardwood",2,2,1800,"2018-07-22T18:01:43.000Z"
2,"Warm Cool","Y",1,6,2,1910,1987,"2011-05-31T00:00:00.000Z",670000,"Q",4,7,"Average","Good","Common Brick",2,"Hardwood",1,1,1274,"2018-07-22T18:01:43.000Z"
6,"Warm Cool","Y",3,13,6,1895,2011,"2004-12-27T00:00:00.000Z",0,"U",10,6,"Excellent","Good","Brick/Stone",2,"Hardwood",3,0,1305,"2018-07-22T18:01:43.000Z"
